question,question_type,question_format,complexity_of_format,analytical_depth,interdisciplinary_integration,language_and_cues,Overall_difficulty,Focus_area,is_incomplete,theme,keywords,textbooks,focus,is_upsc_scope,year
"5. With reference to the Indian economy, what are the advantages of ""Inflation-Indexed Bonds (IIBs)""?
1. Government can reduce the coupon rates on its borrowing by way of IIBs.
2. IIBs provide protection to the investors from uncertainty regarding inflation.
3. The interest received as well as capital gains on IIBs are not taxable.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Medium,Medium,"The question assesses analytical ability in the context of Inflation-Indexed Bonds in the Indian economy, focusing on the advantages and features of IIBs and their implications for both the government and investors.",FALSE,Inflation-Indexed Bonds (IIBs) and their advantages,"Inflation-Indexed Bonds, India, coupon rate, inflation protection, tax benefits, government borrowing","Indian Economy by Ramesh Singh, Economic Survey of India, Budget Documents",Application of knowledge and factual recall regarding the advantages and features of Inflation-Indexed Bonds in the context of the Indian economy,TRUE,2022
"6. With reference to foreign-owned e-commerce firms operating in India, which of the following statements is/are correct?
1. They can sell their own goods in addition to offering their platforms as market-places.
2. The degree to which they can own big sellers on their platforms is limited.
Select the correct answer using the code given below:
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of foreign-owned e-commerce regulations in India, focusing on the operational capabilities and restrictions of foreign e-commerce entities.",FALSE,Regulatory Framework for Foreign-Owned E-commerce Firms,"foreign ownership, e-commerce, FDI, marketplace model, platform regulation","Indian Economy by Ramesh Singh, Economic Survey of India","This question assesses the candidate’s understanding of the regulatory framework and policy implications for foreign-owned e-commerce firms operating in India, including the delineation between marketplace and inventory-based models.",TRUE,2022
"7. Which of the following activities constitute real sector in the economy ?
1. Farmers harvesting their crops
2. Textile mills converting raw cotton into fabrics
3. A commercial bank lending money to a trading company
4. A corporate body issuing Rupee Denominated Bonds overseas
Select the correct answer using the code given below :
(a) 1 and 2 only
(b) 2, 3 and 4 only
(c) 1, 3 and 4 only
(d) 1, 2, 3 and 4",Reasoning/Logical Elimination Questions,Single Correct Option Questions,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of the real sector of the economy, focusing on the identification of activities that contribute to production and economic value, distinguishing between real and financial activities.",FALSE,Real Sector vs Financial Sector,"real sector, financial sector, farming, manufacturing, banking, bonds, economy","Indian Economy by Ramesh Singh, Economic Survey, Budget Documents",conceptual understanding,TRUE,2022
"8. Which one of the following situations best reflects ""Indirect Transfers"" often talked about in media recently with reference to India?
(a) An Indian company investing in a foreign enterprise and paying taxes to the foreign country on the profits arising out of its investment
(b) A foreign company investing in India and paying taxes to the country of its base on the profits arising out of its investment
(c) An Indian company purchases tangible assets in a foreign country and sells such assets after their value increases and transfers the proceeds to India
(d) A foreign company transfers shares and such shares derive their substantial value from assets located in India",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of indirect transfers related to taxation and foreign investments in India, focusing on identifying the correct situation that best describes the term 'indirect transfers'.",FALSE,Indirect Transfers in International Investment,"Indirect Transfers, Foreign Direct Investment, taxation, India, foreign investment, normal taxation","Indian Economy by Ramesh Singh, Economic Survey of India, Introduction to the Constitution of India (for understanding policies)",Factual recall and application of knowledge regarding tax policies and international financial transactions,TRUE,2022
"9. With reference to the expenditure made by an organisation or a company, which of the following statements is/are correct?
1. Acquiring new technology is capital expenditure.
2. Debt financing is considered capital expenditure, while equity financing is considered revenue expenditure.
Select the correct answer using the code given below:
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of financial accounting, focusing on the definitions and distinctions between capital expenditure and revenue expenditure.",,Capital Expenditure vs Revenue Expenditure,"capital expenditure, revenue expenditure, technology acquisition, debt financing, equity financing, financial management","Financial Management by I.M. Pandey, Indian Financial System by Mishra",Conceptual understanding,TRUE,2022
"10. With reference to the Indian economy, consider the following statements :
1. A share of the household financial savings goes towards government borrowings.
2. Dated securities issued at market-related rates in auctions form a large component of internal debt.
Which of the above statements is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of household financial savings and government borrowing in the Indian economy, focusing on the sources of government debt and the nature of internal borrowings.",FALSE,Government borrowings and internal debt instruments,"household financial savings, government borrowings, dated securities, market-related rates, auctions, internal debt","Indian Economy by Ramesh Singh, Budget Documents and Economic Surveys",This question assesses factual recall and conceptual understanding regarding the sources of government borrowings and the structure of internal debt in India.,TRUE,2022
"11. Consider the following statements :
1. Pursuant to the report of H.N. Sanyal Committee, the Contempt of Courts Act, 1971 was passed.
2. The Constitution of India empowers the Supreme Court and the High Courts to punish for contempt of themselves.
3. The Constitution of India defines Civil Contempt and Criminal Contempt.
4. In India, the Parliament is vested with the powers to make laws on Contempt of Court.
Which of the statements given above is/are correct?
(a) 1 and 2 only
(b) 1, 2 and 4
(c) 3 and 4 only
(d) 3 only",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the legal framework governing contempt of court in India, focusing on the provisions and interpretations of the Contempt of Courts Act, 1971 and constitutional provisions regarding contempt.",FALSE,Constitutional Provisions and Judicial Powers,"H.N. Sanyal Committee, Contempt of Courts Act, 1971, Supreme Court, High Courts, Parliament, Civil Contempt, Criminal Contempt, Constitution of India, judicial powers","Introduction to the Constitution of India by D.D. Basu, Indian Polity by M. Laxmikanth",Assessment of conceptual understanding and factual recall regarding constitutional provisions related to contempt of court and the respective powers of the judiciary and the legislature.,TRUE,2022
"12. With reference to India, consider the following statements:
1. Government law officers and legal firms are recognised as advocates, but corporate lawyers and patent attorneys are excluded from recognition as advocates.
2. Bar Councils have the power to lay down the rules relating to legal education and recognition of law colleges.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of legal recognition and authority within India's legal framework, focusing on the recognition of advocates and the regulatory powers of Bar Councils.",,Regulation and Recognition of Advocates,"Government law officers, Legal firms, Corporate lawyers, Patent attorneys, Bar Councils, Legal education, Recognition of law colleges, Advocates Act, 1961","Introduction to the Constitution of India, The Constitution of India (by M. Laxmikanth), Legal and Constitutional History (by A. G. Noorani)",Factual recall and conceptual understanding regarding the regulation of the legal profession and legal education as per the framework provided by the Indian Constitution and statutory laws.,TRUE,2022
"13. Consider the following statements :
1. A bill amending the Constitution requires a prior recommendation of the President of India.
2. When a Constitution Amendment Bill is presented to the President of India, it is obligatory for the President of India to give his/her assent.
3. A Constitution Amendment Bill must be passed by both the Lok Sabha and the Rajya Sabha by a special majority and there is no provision for joint sitting.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of constitutional provisions regarding amendment processes, focusing on understanding the prerequisites and implications of Constitution Amendment Bills.",FALSE,Constitutional Procedures and Practices,"Constitution Amendment Bill, President's Assent, Special Majority, Joint Sitting, Parliamentary Procedure","Introduction to the Constitution of India by D.D. Basu, Indian Polity by M. Laxmikanth","Factual recall and conceptual understanding of parliamentary procedures for constitutional amendments, including the roles and powers of the President and the legislative process.",TRUE,2022
"14. Consider the following statements :
1. The Constitution of India classifies the ministers into four ranks viz. Cabinet Minister, Minister of State with Independent Charge, Minister of State and Deputy Minister.
2. The total number of ministers in the Union Government, including the Prime Minister, shall not exceed 15 percent of the total number of members in the Lok Sabha.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the Indian Constitution and its provisions regarding the classification of ministers and their numerical limit in the Union Government, focusing on the accuracy of constitutional provisions.",,Composition and Organization of the Union Council of Ministers,"Constitution of India, ministers ranks, Cabinet Minister, Minister of State with Independent Charge, Minister of State, Deputy Minister, Lok Sabha, 15 percent rule","Indian Polity by M. Laxmikanth, Introduction to the Constitution of India by D.D. Basu",Conceptual understanding of constitutional provisions related to the executive and factual recall of norms governing ministerial appointments,TRUE,2022
