question,gemini_answer,o3_answer
"63. Consider the following statements :
Statement-I :
The soil in tropical rain forests is rich
in nutrients.
Statement-II:
The high temperature and moisture
of tropical rain forests cause
dead organic matter in the soil to
decompose quickly.
Which one of the following is correct in
respect of the above statements?
(a) Both Statement-I and Statement-II
are correct and Statement-II is the
correct explanation for Statement-I
(b) Both Statement-I and Statement-II
are correct and Statement-II is
not the correct explanation for
Statement-I
(c) Statement-I is correct but
Statement-II is incorrect
(d) Statement-I is incorrect but
Statement-II is correct",(d) Statement-I is incorrect but Statement-II is correct,(d) Statement-I is incorrect but Statement-II is correct
"2. Consider the following pairs :
Port Well known as
1. Kamarajar Port: First major port in India registered as a company.
2. Mundra Port : Largest privately owned port in India
3. Visakhapatnam: Largest container port in India
Port
How many of the above pairs are correctly matched?
(a) Only one pair
(b) Only two pairs
(c) All three pairs
(d) None of the pairs",(b) Only two pairs,(b) Only two pairs
"42. With reference to ancient India, consider the following statements:
1.  The concept of Stupa is Buddhist in origin.
2.  Stupa was generally a repository of relics.
3.  Stupa was a votive and commemorative structure in Buddhist tradition.
How many of the statements given above are correct?
(a) Only one
(b) Only two
(c) All three
(d) None",(b) Only two,(b) Only two
"54. Consider the following actions:
1. Detection of car crash/collision which results in the deployment of airbags almost instantaneously
2. Detection of accidental free fall of a laptop towards the ground which results in the immediate turning off of the hard drive
3. Detection of the tilt of the smart-phone which results in the rotation of display between portrait and landscape mode
In how many of the above actions is the function of accelerometer required?
(a) Only one
(b) Only two
(c) All three
(d) None",(c) All three,(c) All three
"82. Consider the following pairs :
Site Well known for
1. Besnagar : Shaivite cave shrine
2. Bhaja : Buddhist cave shrine
3. Sittanavasal: Jain cave shrine
How many of the above pairs are correctly matched?
(a) Only one
(b) Only two
(c) All three
(d) None",(b) Only two,(c) All three
"52. Consider the following statements in the context of interventions being undertaken under Anaemia Mukt Bharat Strategy :
1. It provides prophylactic calcium supplementation for pre-school children, adolescents and pregnant women.
2. It runs a campaign for delayed cord clamping at the time of child-birth.
3. It provides for periodic deworming to children and adolescents.
4. It addresses non-nutritional causes of anaemia in endemic pockets with special focus on malaria, hemoglobinopathies and fluorosis.
How many of the statements given above are correct?
(a) Only one
(b) Only two
(c) Only three
(d) All four",(c) Only three,(c) Only three
"93. Consider the following pairs:
Regions often Reason for being
mentioned in news in news
1. North Kivu and Ituri: War between
Armenia and
Azerbaijan
2. Nagorno-Karabakh : Insurgency in
Mozambique
3. Kherson and : Dispute between
Zaporizhzhia Israel and Lebanon
How many of the above pairs are
correctly matched?
(a) Only one
(b) Only two
(c) All three
(d) None",(d) None,(d) None
"23. Consider the following statements:
Statement-I:
Carbon markets are likely to be one of
the most widespread tools in the fight
against climate change.
Statement-II:
Carbon markets transfer resources
from the private sector to the State.
Which one of the following is correct in
respect of the above statements?
(a) Both Statement-I and Statement-II
are correct and Statement-II is the
correct explanation for Statement-I
(b) Both Statement-I and Statement-II
are correct and Statement-II is
not the correct explanation for
Statement-I
(c) Statement-I is correct but
Statement-II is incorrect
(d) Statement-I is incorrect but
Statement-II is correct",(c) Statement-I is correct but Statement-II is incorrect,(c) Statement-I is correct but Statement-II is incorrect
"53. Consider the following statements:
1. Carbon fibres are used in the manufacture of components used in automobiles and aircrafts.
2. Carbon fibres once used cannot be recycled.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",(a) 1 only,(a) 1 only
"89. Consider the following statements :
The 'Stability and Growth Pact' of the
European Union is a treaty that
1. limits the levels of the budgetary
deficit of the countries of the
European Union
2. makes the countries of the
European Union to share their
infrastructure facilities
3. enables the countries of the
European Union to share their
technologies
How many of the above statements are
correct?
(a) Only one
(b) Only two
(c) All three
(d) None",(a) Only one,(a) Only one
"77. Consider the following statements :
1. According to the Constitution of
India, the Central Government has
a duty to protect States from
internal disturbances.
2. The Constitution of India exempts
the States from providing legal
counsel to a person being held for
preventive detention.
3. According to the Prevention of
Terrorism Act, 2002, confession of
the accused before the police
cannot be used as evidence.
How many of the above statements are
correct?
(a) Only one
(b) Only two
(c) All three
(d) None",(a) Only one,(c) All three
"51. Consider the following statements in relation to Janani Suraksha Yojana :
1. It is a safe motherhood intervention of the State Health Departments.
2. Its objective is to reduce maternal and neonatal mortality among poor pregnant women.
3. It aims to promote institutional delivery among poor pregnant women.
4. Its objective includes providing public health facilities to sick infants up to one year of age.
How many of the statements given above are correct?
(a) Only one
(b) Only two
(c) Only three
(d) All four",(b) Only two,(c) Only three
"80. Consider the following statements in respect of election to the President of India:
1. The members nominated to either House of the Parliament or the Legislative Assemblies of States are also eligible to be included in the Electoral College.
2. Higher the number of elective Assembly seats, higher is the value of vote of each MLA of that State.
3. The value of vote of each MLA of Madhya Pradesh is greater than that of Kerala.
4. The value of vote of each MLA of Puducherry is higher than that of Arunachal Pradesh because the ratio of total population to total number of elective seats in Puducherry is greater as compared to Arunachal Pradesh.
How many of the above statements are correct?
(a) Only one
(b) Only two
(c) Only three
(d) All four",(a) Only one,(b) Only two
"83. Consider the following statements:
Statement-I :
7th August is declared as the National Handloom Day.
Statement-II:
It was in 1905 that the Swadeshi Movement was launched on the same day.
Which one of the following is correct in respect of the above statements?
(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-I is incorrect but Statement-II is correct",(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I,(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
"76. Consider the following statements:
Statement-I :
According to the United Nations'
World Water Development Report,
2022', India extracts more than
a quarter of the world's groundwater
withdrawal each year.
Statement-II:
India needs to extract more than
a quarter of the world's groundwater
each year to satisfy the drinking water
and sanitation needs of almost 18%
of world's population living in its
territory.
Which one of the following is correct in
respect of the above statements?
(a) Both Statement-I and Statement-II
are correct and Statement-II is the
correct explanation for Statement-I
(b) Both Statement-I and Statement-II
are correct and Statement-II is
not the correct explanation for
Statement-I
(c) Statement-I is correct but
Statement-II is incorrect
(d) Statement-I is incorrect but
Statement-II is correct",(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I,(c) Statement-I is correct but Statement-II is incorrect
"98. In the recent years Chad, Guinea, Mali
and Sudan caught the international
attention for which one of the following
reasons common to all of them?
(a) Discovery of rich deposits of rare
earth elements
(b) Establishment of Chinese military
bases
(c) Southward expansion of Sahara
Desert
(d) Successful coups",(d) Successful coups,(d) Successful coups
"59. Consider the following statements regarding mercury pollution :
1. Gold mining activity is a source of mercury pollution in the world.
2. Coal-based thermal power plants cause mercury pollution.
3. There is no known safe level of exposure to mercury.
How many of the above statements are correct?
(a) Only one
(b) Only two
(c) All three
(d) None",(c) All three,(c) All three
"39. With reference to 'Scheduled Areas' in India, consider the following statements:
1.  Within a State, the notification of an area as Scheduled Area takes place through an Order of the President.
2.  The largest administrative unit forming the Scheduled Area is the District and the lowest is the cluster of villages in the Block.
3.  The Chief Ministers of the concerned States are required to submit annual reports to the Union Home Ministry on the administration of Scheduled Areas in the States.
How many of the above statements are correct?
(a) Only one
(b) Only two
(c) All three
(d) None",(a) Only one,(a) Only one
"88. Consider the following statements:
Statement-I:
India accounts for 3.2% of global export of goods.
Statement-II:
Many local companies and some foreign companies operating in India have taken advantage of India's 'Production-linked Incentive' scheme.
Which one of the following is correct in respect of the above statements?
(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation. for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-I is incorrect but Statement-II is correct",(d) Statement-I is incorrect but Statement-II is correct,(d) Statement-I is incorrect but Statement-II is correct
"90. Consider the following statements :
1. Recently, all the countries of the
United Nations have adopted the
first-ever compact for international
migration, the 'Global Compact
for Safe, Orderly and Regular
Migration (GCM)'.
2. The objectives and commitments.
stated in the GCM are binding on
the UN member countries.
3. The GCM addresses internal
migration or internally displaced
people also in its objectives and
commitments.
How many of the above statements are
correct?
(a) Only one
(b) Only two
(c) All three
(d) None",(d) None,(d) None
